object_id,adres,klant_naam,huur_excl_btw,huur_incl_btw,voorschot_gwe_excl_btw,gwe_incl_btw,overige_kosten,totaal_excl_btw,totaal_incl_btw,verhuur_start,verhuur_eind,klant_email,klant_iban
0140,"Wilgenstraat 37","AKT Autoschade",4255.8,4638.82,300.0,363.0,0.0,4555.8,5001.82,2024-06-01,,facturen@aktautoschade.com,
0118,"Marathonlaan 26",Bw-engineering,3600.0,3924.0,300.0,363.0,0.0,3900.0,4287.0,2025-07-01,2026-06-30,r.adelaar@bw-engineering.nl,"NL74 ABNA 0554 0784 57"
0071,"H. Algraplein 25","DIT en Larex Vakpersoneel B.V.",2825.0,3079.25,250.0,302.5,0.0,3075.0,3381.75,2025-08-16,2026-06-15,factuur@ditenlarexvakpersoneel.nl,"NL17 RABO 0320 0278 72"
0212,"Wijngaard 66","DIT en Larex Vakpersoneel B.V.",3025.0,3297.25,250.0,302.5,0.0,3275.0,3599.75,2026-01-16,2026-11-15,factuur@ditenlarexvakpersoneel.nl,"NL17 RABO 0320 0278 72"
0152,"Beeklaan 294","Duijndam Personeelsdiensten B.V.",5050.0,5504.5,450.0,544.5,0.0,5500.0,6049.0,2025-08-29,2026-08-28,facturen@duijndamworks.nl,
0239,"Schoonegge 110","EU Facility Services",2550.0,2779.5,250.0,302.5,0.0,2800.0,3082.0,2025-06-11,2026-06-10,inkoopfacturen@houseofcovebo.nl,"NL94 ABNA 0254 3837 93"
0360,"Kruiningenstraat 185","EU Facility Services",2750.0,2997.5,250.0,302.5,0.0,3000.0,3300.0,2025-07-04,2026-06-03,inkoopfacturen@houseofcovebo.nl,"NL94 ABNA 0254 3837 93"
0362,"Ruigenhoek 69","EU Facility Services",2750.0,2997.5,250.0,302.5,0.0,3000.0,3300.0,2025-07-01,2026-04-30,inkoopfacturen@houseofcovebo.nl,"NL94 ABNA 0254 3837 93"
0339,"Kerkweg 9a [huis 357]",Eastmen,3200.0,3488.0,200.0,242.0,0.0,3400.0,3730.0,2025-10-30,2026-04-29,,
0085,"Kierkegaardhof 54","Estra Logistics Systems B.V.",2600.0,2834.0,200.0,242.0,0.0,2800.0,3076.0,2025-11-14,2026-06-30,finance@cruisr.nl,
0120,"Plaats 10","Estra Logistics Systems B.V.",3100.0,3379.0,250.0,302.5,0.0,3350.0,3681.5,2025-10-14,2026-10-13,finance@cruisr.nl,
0144,"Scheepjesbrug 433","Estra Logistics Systems B.V.",4200.0,4578.0,400.0,484.0,0.0,4600.0,5062.0,2025-03-22,2026-03-22,finance@cruisr.nl,
0307,"Akkerweg 41 [huis 75]","FISSH B.V.",2900.0,3161.0,300.0,363.0,0.0,3200.0,3524.0,2025-11-01,,administratie@fissh.nl,
0260,"Persoonsdam 176","Flexvesting B.V.",1603.32,1747.62,100.0,121.0,0.0,1703.32,1868.62,2025-04-01,2026-04-01,administratie@flexvesting.com,"NL51 RABO 0370 7195 57"
0261,"Persoonsdam 177","Flexvesting B.V.",1603.32,1747.62,100.0,121.0,0.0,1703.32,1868.62,2025-04-01,2026-04-01,administratie@flexvesting.com,"NL51 RABO 0370 7195 57"
0262,"Persoonsdam 178","Flexvesting B.V.",1603.32,1747.62,100.0,121.0,0.0,1703.32,1868.62,2025-04-01,2026-04-01,administratie@flexvesting.com,"NL51 RABO 0370 7195 57"
0263,"Persoonsdam 179","Flexvesting B.V.",2405.0,2621.45,150.0,181.5,0.0,2555.0,2802.95,2025-04-01,2026-04-01,administratie@flexvesting.com,"NL51 RABO 0370 7195 57"
0264,"Persoonsdam 180","Flexvesting B.V.",2405.0,2621.45,150.0,181.5,0.0,2555.0,2802.95,2025-04-01,2026-04-01,administratie@flexvesting.com,"NL51 RABO 0370 7195 57"
0265,"Persoonsdam 181","Flexvesting B.V.",2405.0,2621.45,150.0,181.5,0.0,2555.0,2802.95,2025-04-01,2026-04-01,administratie@flexvesting.com,"NL51 RABO 0370 7195 57"
0266,"Persoonsdam 182","Flexvesting B.V.",2405.0,2621.45,150.0,181.5,0.0,2555.0,2802.95,2025-04-01,2026-04-01,administratie@flexvesting.com,"NL51 RABO 0370 7195 57"
0267,"Persoonsdam 194","Flexvesting B.V.",1603.32,1747.62,100.0,121.0,0.0,1703.32,1868.62,2025-04-01,2026-04-01,administratie@flexvesting.com,"NL51 RABO 0370 7195 57"
0268,"Persoonsdam 198","Flexvesting B.V.",2405.0,2621.45,150.0,181.5,0.0,2555.0,2802.95,2025-04-01,2026-04-01,administratie@flexvesting.com,"NL51 RABO 0370 7195 57"
0324,"Van Swinderenstraat 21","Flexvesting B.V.",2350.0,2561.5,250.0,302.5,0.0,2600.0,2864.0,2025-03-01,2026-02-28,administratie@flexvesting.com,"NL51 RABO 0370 7195 57"
0087,"Jasmijnring 37","H.T.C. Facility Services B.V.",3600.0,3924.0,350.0,423.5,0.0,3950.0,4347.5,2025-10-03,2026-10-02,inkoop@htcfacilityservices.nl,"NL43 RABO 0358 2186 32"
0369,"Oranjestraat 63","H.T.C. Facility Services B.V.",1750.0,1907.5,150.0,181.5,0.0,1900.0,2089.0,2025-08-15,2026-08-14,inkoop@htcfacilityservices.nl,"NL43 RABO 0358 2186 32"
0344,"Pastoor Gilisstraat 81-A","Housing en Transport Facilities BV",4000.0,4360.0,400.0,484.0,0.0,4400.0,4844.0,2025-08-15,2026-08-14,,
0055,"Baanhoek 139","HousingWell B.V.",3029.47,3302.12,250.0,302.5,0.0,3279.47,3604.62,2025-01-01,,info@housingwell.nl,
0040,"Beatrixstraat 3","Impes Service S.p.A.",3300.0,3597.0,250.0,302.5,0.0,3550.0,3899.5,2025-10-10,2026-10-09,"fatture.olanda@impesservice.it, Nicola.pisani@impesservice.it",
0090,"Laan van Nieuw Blankenburg 278","Impes Service S.p.A.",3055.46,3330.45,200.0,242.0,0.0,3255.46,3572.45,2023-05-22,,"fatture.olanda@impesservice.it, Nicola.pisani@impesservice.it",
0114,"Piersonstraat 8","Impes Service S.p.A.",2650.0,2888.5,200.0,242.0,0.0,2850.0,3130.5,2025-12-19,2026-12-18,"fatture.olanda@impesservice.it, Nicola.pisani@impesservice.it",
0007,"Adriaan Baasstraat 34","InAxtion Vastgoed B.V.",2450.0,2670.5,250.0,302.5,0.0,2700.0,2973.0,2025-04-18,2026-04-17,Invoice.vastgoed@inaxtion.com,"NL68 ABNA 0427 9222 08"
0101,"Moureauveld 8","I–Housing Vastgoed Beheer B.V.",3050.0,3324.5,250.0,302.5,0.0,3300.0,3627.0,2025-12-05,2026-12-04,administratie@i-housingvastgoedbeheer.nl,"NL89 RABO 0366 5365 24"
0059,"Dieptol 63","Kapitan Workers Sp. Z.o.o.",3700.0,4033.0,400.0,484.0,0.0,4100.0,4517.0,2025-10-01,2026-09-30,kapitanworkers@outlook.com,
0193,"Kapershoek 11","Labour Housing BV",2600.0,2834.0,250.0,302.5,0.0,2850.0,3136.5,2025-12-12,2026-12-11,crediteuren@ottoworkforce.eu,"NL84 ABNA 0405 8514 13"
0232,"Zuidhoek 209D","Labour Housing BV",2650.0,2888.5,250.0,302.5,0.0,2900.0,3191.0,2025-12-05,2026-12-04,crediteuren@ottoworkforce.eu,"NL84 ABNA 0405 8514 13"
0064,"Enk 6","Lago Personeelshuisvesting B.V.",2253.77,2456.61,0.0,0.0,0.0,2253.77,2456.61,2023-05-05,,facturen@lagopersoneelshuisvesting.nl,
0206,"Kruiningenstraat 152","Light Personeelsdiensten",2650.0,2888.5,250.0,302.5,0.0,2900.0,3191.0,2025-11-01,2026-10-31,,
